nodeName	altName	nodeAttr[nodesPresent, ]
CK07	NA	blue
CK09	NA	brown
CK11	NA	blue
CK12	NA	brown
D01A1	NA	blue
D01A3	NA	blue
D01A4	NA	brown
D01A6	NA	brown
D02A3	NA	brown
D02A4	NA	brown
D02A6	NA	blue
D03A2	NA	blue
D03A4	NA	brown
D03A5	NA	blue
D04A3	NA	blue
D04A6	NA	brown
D05A1	NA	brown
D05A2	NA	brown
D05A5	NA	blue
D05A6	NA	blue
D06A4	NA	blue
D06A5	NA	blue
D07A1	NA	blue
D07A4	NA	blue
D07A5	NA	blue
D08A1	NA	blue
D08A3	NA	blue
D08A5	NA	brown
D08A6	NA	brown
D09A1	NA	blue
D09A3	NA	brown
D09A4	NA	blue
D10A4	NA	blue
D10A6	NA	blue
D11A2	NA	blue
D11A4	NA	blue
D12A1	NA	blue
D12A3	NA	brown
D12A5	NA	blue
D01B2	NA	blue
D01B6	NA	blue
D02B3	NA	blue
D02B5	NA	blue
D03B2	NA	blue
D03B5	NA	brown
D04B1	NA	blue
D04B2	NA	blue
D04B3	NA	brown
D04B4	NA	blue
D04B6	NA	brown
D05B1	NA	blue
D05B3	NA	blue
D05B4	NA	brown
D05B5	NA	blue
D05B6	NA	blue
D06B2	NA	blue
D06B4	NA	blue
D07B2	NA	blue
D07B6	NA	blue
D08B1	NA	blue
D08B2	NA	brown
D08B6	NA	brown
D09B6	NA	brown
D10B3	NA	blue
D10B5	NA	blue
D10B6	NA	blue
D11B1	NA	blue
D11B3	NA	blue
D11B6	NA	brown
D12B2	NA	blue
D12B4	NA	blue
D12B5	NA	brown
